MIAC Championships,Carlos Martinez,Macalester,28:53.5,154,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,David Ohman,Hamline,28:54.7,155,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Quad Kilander,Gustavus Adolphus,28:55.0,156,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Dylan Baumann,St. Thomas,28:55.4,157,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Andy Meyer,Saint Mary's,28:55.4,158,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Andrew Kleven,St. Olaf,28:56.5,159,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Daniel Burkhardt,St. Thomas,28:56.7,160,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Shane Harlow,Hamline,28:57.4,161,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Scott Dick,Saint John's,28:59.8,162,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Chad Hewitt,St. Thomas,29:00.2,163,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Mike Wolter,Saint Mary's,29:02.8,164,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Christian Svennes,Bethel,29:04.4,165,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Nick Johnson,St. Thomas,29:05.2,166,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Connor Jackson,Carleton,29:06.6,167,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Adam Wood,St. Olaf,29:09.7,168,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Eric Sanchez,Augsburg,29:09.9,169,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Weberg,Macalester,29:10.0,170,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Mark Riegel,Macalester,29:15.4,171,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Mergens,Saint John's,29:17.7,172,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Oliver Heywood,Carleton,29:18.3,173,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ben Hiskes,Carleton,29:19.3,174,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Bowman,St. Olaf,29:19.8,175,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Gustav Danielsson,Carleton,29:21.6,176,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Thomas Brenberg,Gustavus Adolphus,29:22.0,177,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Andy Olson,St. Olaf,29:22.8,178,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Kade Fitzgerald,Hamline,29:27.2,179,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Paul Dau,St. Olaf,29:28.5,180,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Tim Peterson,Concordia-Moorhead,29:28.5,181,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Taylor Lauermann,Concordia-Moorhead,29:29.5,182,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Zach Greimann,St. Olaf,29:30.4,183,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Charles Schweitzer,Hamline,29:30.8,184,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Emilio Quintana,Gustavus Adolphus,29:31.1,185,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ian O'Neill,St. Olaf,29:31.9,186,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Thomas Dierberger,Saint John's,29:32.4,187,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Jason Showers,St. Olaf,29:37.2,188,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Alec Shub,Macalester,29:40.6,189,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Lagergren,Hamline,29:41.1,190,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Jeremy Welters,Saint John's,29:41.2,191,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Pat Martin,Saint John's,29:46.2,192,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Hintz,Bethel,29:46.8,193,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Adam Sturtz,St. Olaf,29:48.8,194,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Jordan Pesik,St. Olaf,29:49.1,195,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Isaac Secor,Saint John's,29:50.2,196,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ben Levy,Carleton,29:50.4,197,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Tanner Fliss,Carleton,29:51.4,198,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Joe Macula,Macalester,29:54.2,199,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Andrew Fuglestad,St. Olaf,29:54.3,200,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Lucas Foley,St. Olaf,29:54.4,201,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Nate LaFond,St. Olaf,29:55.0,202,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Phil Juda,Carleton,29:55.2,203,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Thomas Almen-Dale,Gustavus Adolphus,29:55.9,204,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Phearman,St. Olaf,30:02.4,205,2012,"Como Park Golf Course, St. Paul"
